2026-04-22 00:59:32 [INFO    ] Tracker — DeepSORT tracker initialised (max_age=30, n_init=3)
2026-04-22 01:01:17 [INFO    ] Tracker — DeepSORT tracker initialised (max_age=30, n_init=3)
2026-04-22 01:03:18 [INFO    ] Tracker — DeepSORT tracker initialised (max_age=30, n_init=3)
2026-04-22 01:26:19 [INFO    ] Tracker — DeepSORT tracker initialised (max_age=30, n_init=3)
2026-04-22 23:03:08 [INFO    ] Tracker — DeepSORT tracker initialised (max_age=30, n_init=3)
2026-04-22 23:03:28 [INFO    ] Tracker — DeepSORT tracker initialised (max_age=30, n_init=3)
2026-04-22 23:05:53 [INFO    ] Tracker — DeepSORT tracker initialised (max_age=30, n_init=3)
2026-04-22 23:06:32 [INFO    ] Tracker — DeepSORT tracker initialised (max_age=30, n_init=3)
2026-04-22 23:06:44 [INFO    ] Tracker — DeepSORT tracker initialised (max_age=30, n_init=3)
2026-04-22 23:19:07 [INFO    ] Tracker — DeepSORT tracker initialised (max_age=30, n_init=3)
2026-04-23 00:24:56 [INFO    ] Tracker — DeepSORT tracker initialised (max_age=30, n_init=3)
2026-04-23 21:36:56 [INFO    ] Tracker — DeepSORT tracker initialised (max_age=30, n_init=3)
2026-04-24 20:50:20 [INFO    ] Tracker — DeepSORT tracker initialised (max_age=30, n_init=3)
2026-04-24 20:52:43 [INFO    ] Tracker — DeepSORT tracker initialised (max_age=30, n_init=3)
2026-04-24 20:57:34 [INFO    ] Tracker — DeepSORT tracker initialised (max_age=30, n_init=3)
2026-04-24 20:58:30 [INFO    ] Tracker — DeepSORT tracker initialised (max_age=30, n_init=3)
2026-04-24 21:36:39 [INFO    ] Tracker — DeepSORT tracker initialised (max_age=30, n_init=3)
2026-04-24 21:41:17 [INFO    ] Tracker — DeepSORT tracker initialised (max_age=30, n_init=3)
2026-04-24 21:41:35 [INFO    ] Tracker — DeepSORT tracker initialised (max_age=30, n_init=3)
2026-04-27 22:06:36 [INFO    ] Tracker — DeepSORT tracker initialised (max_age=30, n_init=3)
2026-04-27 23:34:37 [INFO    ] Tracker — DeepSORT tracker initialised (max_age=30, n_init=3)
